Epic,PR,Branch,Depends on,Acceptance Criteria,Labels,Milestone
"WB-E0 Foundation","PR-WB-01 docs(workbench): architecture and source-of-truth policy","codex/wb-01-architecture-policy","","Architecture, scope, and view-model docs exist under docs/workbench and explicitly state that Workbench is an orchestration/UI layer that does not own compiler, verifier, VM, runtime, or boundary semantics.","workbench;docs;foundation;priority:high","WB-0 Bootstrap"
"WB-E0 Foundation","PR-WB-02 feat(workbench): bootstrap app shell","codex/wb-02-bootstrap-shell","PR-WB-01","apps/workbench starts as a Tauri desktop shell with React and TypeScript, basic routes and layout exist, and no Semantic logic is duplicated in the UI layer.","workbench;frontend;tauri;foundation;priority:high","WB-0 Bootstrap"
"WB-E0 Foundation","PR-WB-03 feat(workbench): command bus and cli adapter","codex/wb-03-command-bus-cli-adapter","PR-WB-01, PR-WB-02","A deterministic job model and command bus exist, CLI execution goes only through a process adapter for smc, svm, cargo, and release scripts, and Workbench does not call private crate internals.","workbench;backend;cli-adapter;foundation;priority:high","WB-0 Bootstrap"
"WB-E0 Foundation","PR-WB-04 feat(workbench): project open and workspace settings","codex/wb-04-project-open-settings","PR-WB-02, PR-WB-03","Users can open a workspace, persist recent projects and settings, and the selected project becomes the root context for all Workbench jobs without introducing alternate project metadata semantics.","workbench;project;settings;foundation;priority:medium","WB-0 Bootstrap"
"WB-E1 Operations Cockpit","PR-WB-05 feat(workbench): operations cockpit","codex/wb-05-operations-cockpit","PR-WB-03, PR-WB-04","Overview shows branch, commit, baseline tag, test/build/bundle states, readiness summary, and known limits derived from real commands and repository documents rather than hardcoded UI state.","workbench;cockpit;release;priority:high","WB-0.1 Cockpit"
"WB-E1 Operations Cockpit","PR-WB-06 feat(workbench): jobs panel and command output","codex/wb-06-jobs-panel","PR-WB-03, PR-WB-05","Users can run smc compile, smc run, svm run, svm disasm, cargo test --workspace, and verify_release_bundle.ps1 from the UI and inspect structured job history and output.","workbench;jobs;cli-adapter;priority:high","WB-0.1 Cockpit"
"WB-E2 Spec Navigator","PR-WB-07 feat(workbench): spec navigator","codex/wb-07-spec-navigator","PR-WB-04","Workbench displays docs/spec and docs/roadmap as a navigable tree with file-level viewing and search entrypoints while treating repository docs as the only source of truth.","workbench;docs;spec-navigator;priority:high","WB-0.1 Cockpit"
"WB-E2 Spec Navigator","PR-WB-08 feat(workbench): release map and readiness panel","codex/wb-08-release-map","PR-WB-05, PR-WB-07","Readiness, compatibility, release checklist, smoke matrix, and known-limit panels are visible in UI with source paths and freshness indicators, without any alternative release scoring model.","workbench;release;spec-navigator;priority:medium","WB-0.1 Cockpit"
"WB-E3 Authoring Shell","PR-WB-09 feat(workbench): project explorer and editor shell","codex/wb-09-editor-shell","PR-WB-04, PR-WB-07","File tree, multi-tab editor, open/save/reload, and dirty markers work for .sm files, and the editor remains a shell rather than a full IDE or second parser.","workbench;editor;authoring;priority:high","WB-0.2 Authoring"
"WB-E3 Authoring Shell","PR-WB-10 feat(workbench): compile and check current file actions","codex/wb-10-file-actions","PR-WB-06, PR-WB-09","Users can compile and check the current file from the editor shell, and outputs route into the shared jobs/diagnostics pipeline without bypassing the CLI adapter.","workbench;editor;compile-check;priority:high","WB-0.2 Authoring"
