Issue,Scope,Acceptance Criteria,Priority
WB-BH-01 First-run project open sanity,"Validate cold-start project open flow for repo root, custom workspace path, recent workspaces, and settings restore.","Repository root and common sub-workspaces open without restart; invalid paths surface a clear recoverable error; recent workspaces reopen accurately; restored default workspace matches saved settings.",High
WB-BH-02 Workspace tree refresh and scaffold handoff,"Verify project tree refresh after scaffold init/new and package preview sync.","Init/new scaffold refreshes the tree without stale nodes; src/main.sm opens after init; package metadata preview refreshes against the created Semantic.toml; repo boundary guard remains enforced.",High
WB-BH-03 Job runner repeat-click and concurrency guardrails,"Stress rapid repeated clicks and overlapping workflow runs in the command bus.","Duplicate clicks do not corrupt the job ledger; running/success/failure status remains consistent; each job preserves command, cwd, exit code, and duration; UI stays responsive during overlapping runs.",High
WB-BH-04 Long output readability and output inspection,"Review large stdout/stderr payloads in the jobs and inspect panels.","Large outputs remain readable and scrollable; stdout and stderr stay separated; copy/select works; truncation never happens silently and is called out if introduced.",Medium
WB-BH-05 Authoring loop sanity,"Review open → edit → save → check/compile/run/disasm from the editor shell.","Dirty and saving indicators stay accurate; auto-save before actions only happens where intended; current-file actions never require manual path workarounds; results flow back into jobs/inspectors predictably.",High
WB-BH-06 Diagnostics fidelity and source navigation,"Audit parse, type, module, verify, and runtime diagnostics preservation.","Severity, code, file, and range stay intact when present in tool output; grouped filters remain stable; opening a diagnostic lands in the correct file context; raw diagnostic block stays accessible.",High
WB-BH-07 Diagnostics spec-link truthfulness,"Review links from diagnostics to canonical spec and error docs.","Diagnostic codes and families resolve to canonical docs when mappings exist; missing links fail explicitly instead of guessing; opened spec documents clearly show source path and truth status.",Medium
WB-BH-08 Formatter predictability,"Review Format File, Format Project, Format Check, and format-on-save behavior.","Formatter actions call only smc fmt; dirty-buffer guard is explicit; format-check results are readable; repeated runs are deterministic; no silent formatting happens outside the canonical formatter surface.",High
WB-BH-09 Spec and release navigation clarity,"Polish docs entry, search, freshness badges, and truth-versus-derived language.","Search finds canonical docs quickly; docs entry cards open the intended anchors; source paths stay visible; freshness/derived metadata never masquerades as repository truth.",Medium
WB-BH-10 Inspectors readability on real artifacts,"Review disasm, verify, trace, and verified-run inspectors on representative workloads.","Raw output is always visible; derived summaries remain faithful to the underlying output; artifact paths are clear; inspector language never implies a second VM or verifier model.",High
WB-BH-11 Release console truth audit,"Audit gate grid, docs alignment, known limits, asset smoke, and baseline manifest handling.","Every release badge is traceable to a real job or canonical doc; known limits remain visible even in green states; exported report matches on-screen data; no synthetic release score is introduced.",High
WB-BH-12 Experimental smlsp guardrails,"Harden the external smlsp bridge as an optional experimental protocol path.","The bridge stays hidden unless experimental workflows are enabled; missing or broken smlsp commands produce actionable errors; protocol failures do not poison the editor shell; formatted text applies only to the current buffer.",Medium
WB-BH-13 Beta packaging and smoke pass,"Package Workbench as a beta-facing app and run representative end-user smoke scenarios.","Packaged app launches from a clean environment; the main loop open → edit → check/compile → diagnostics → format → inspect → release console works end-to-end; smoke results are captured as release evidence.",High
WB-BH-14 Beta release notes and known-limits alignment,"Prepare publish-facing notes for the Workbench beta line.","Release notes distinguish stable-now versus experimental workflows; setup steps and known limits are documented; no public-facing note promises behavior beyond current mainline capability.",Medium
